variant,metric_01,metric_02,metric_03,metric_04,metric_05,metric_06,metric_07,metric_08,metric_09,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20
A,63.802,42.788,25.472,64.929,47.219,54.947,62.962,47.45,52.408,44.406,52.091,49.07,47.082,43.645,42.069,37.404,59.687,54.627,47.167,52.543
A,31.081,54.378,43.198,47.864,56.387,50.606,44.108,48.266,47.252,49.348,60.171,57.266,37.069,51.124,37.322,39.171,52.72,38.58,49.306,54.434
A,65.404,51.724,41.434,43.145,31.957,45.298,60.497,46.638,74.501,47.086,52.974,61.45,54.13,43.019,49.797,46.014,45.964,45.175,59.952,39.199
A,47.194,43.125,31.275,62.275,57.37,57.726,56.267,53.945,69.157,37.135,22.277,50.908,54.674,52.831,52.71,43.918,42.304,63.944,49.305,46.516
A,36.316,60.678,52.331,51.54,44.435,53.662,65.984,28.549,53.691,53.192,49.481,62.827,64.995,52.193,49.559,58.118,49.824,47.243,45.02,42.545
A,42.977,50.44,43.326,67.064,52.814,45.365,49.971,42.114,45.509,62.173,51.151,43.61,49.466,43.033,45.065,44.487,65.896,57.014,38.613,49.39
A,38.27,66.443,53.893,48.413,41.435,62.484,40.449,46.524,40.373,43.245,49.493,51.572,39.436,55.215,51.698,67.632,62.3,59.413,54.558,62.163
A,36.425,61.933,40.739,66.822,47.087,41.381,53.291,41.488,59.206,47.168,59.645,46.678,33.244,54.394,50.004,50.357,44.031,42.317,46.365,61.256
A,53.2,43.328,36.725,53.825,60.395,44.654,34.048,46.153,68.579,30.315,39.737,51.059,54.3,32.982,58.334,58.89,60.034,56.59,70.98,56.127
A,53.216,54.027,45.922,56.263,42.908,29.716,51.878,45.974,56.547,38.313,40.095,46.107,37.739,41.079,62.335,62.741,42.906,55.095,64.844,38.366
A,50.772,51.555,33.68,35.855,48.733,35.336,49.236,48.076,49.635,43.029,59.7,55.837,52.843,48.171,58.333,47.835,41.261,46.048,51.909,64.796
A,32.935,48.651,38.657,44.761,41.057,45.769,48.238,59.621,34.176,53.876,44.002,44.142,49.057,70.456,52.169,47.779,54.568,53.973,57.401,46.694
A,54.296,54.186,65.262,57.875,40.392,49.415,45.694,84.784,38.592,45.925,40.677,41.968,62.247,55.234,33.346,49.635,54.572,69.304,47.474,55.049
A,57.185,33.771,62.327,46.109,47.118,61.755,59.423,29.991,58.69,52.312,49.296,53.861,65.162,55.143,40.871,60.734,42.783,40.344,46.361,44.008
A,68.953,45.27,61.994,36.209,50.033,39.554,47.07,50.292,41.481,57.992,59.014,42.887,64.996,46.376,45.098,52.263,35.684,28.27,50.503,56.204
A,36.44,48.867,48.646,56.187,41.819,36.34,58.498,48.584,42.448,58.161,61.158,59.551,55.049,70.442,49.707,55.937,51.377,60.096,65.938,41.697
A,59.926,38.259,47.034,51.209,61.329,65.314,38.916,35.034,54.114,57.226,54.384,46.695,36.712,51.191,49.564,59.685,56.58,38.668,52.211,42.817
A,65.589,47.719,49.679,49.631,51.0,50.069,70.132,53.585,52.62,39.519,37.623,48.495,43.851,40.503,38.899,49.528,64.784,48.626,62.645,51.919
A,41.194,47.476,54.33,48.757,51.619,39.546,43.163,52.603,45.042,54.809,58.262,61.813,72.116,61.396,39.296,58.672,45.459,37.979,70.56,49.54
A,48.594,57.943,65.003,46.026,61.215,44.682,74.252,48.241,50.977,48.638,40.897,61.288,44.336,38.17,52.11,57.896,54.223,48.72,25.372,55.797
A,47.971,47.722,50.716,64.365,40.31,43.74,39.045,59.783,37.583,50.664,50.621,65.174,56.233,43.639,47.616,38.803,70.643,55.829,43.102,45.669
A,37.007,49.685,44.888,56.806,50.688,46.207,48.574,54.607,55.243,39.429,53.713,58.032,40.943,38.639,53.083,54.083,45.124,54.739,63.654,58.155
A,43.298,69.581,43.936,54.248,48.541,74.032,66.443,50.45,40.752,54.518,36.701,64.923,44.046,44.647,37.203,49.198,48.375,58.806,46.54,53.884
A,46.929,55.184,43.015,40.21,50.286,39.694,52.59,49.195,48.663,51.027,48.937,40.955,38.184,30.03,38.181,49.524,70.802,46.608,45.514,49.208
A,58.661,39.427,45.117,44.269,50.493,47.867,45.713,47.401,60.956,50.256,31.885,41.415,46.381,47.228,51.432,45.369,60.518,44.406,50.328,42.791
A,62.459,54.212,57.836,62.401,43.105,42.376,53.949,48.701,60.728,60.537,61.496,59.946,48.992,46.421,45.505,41.61,58.837,49.195,58.925,37.563
A,53.248,60.538,50.325,71.018,55.25,57.688,52.519,60.1,54.866,58.253,60.168,63.114,46.657,59.209,25.769,54.499,44.556,54.968,54.199,42.11
A,53.145,37.103,48.756,53.458,50.275,40.315,36.014,64.352,53.252,55.663,59.304,52.689,35.715,43.114,43.841,46.332,38.974,53.727,45.116,45.753
A,60.273,57.793,43.434,30.826,49.501,69.495,46.676,44.833,53.222,20.47,56.376,59.04,65.403,56.095,47.804,54.355,53.522,53.654,47.747,50.181
A,52.748,36.898,49.076,43.621,47.376,57.254,53.576,41.247,56.089,36.4,51.919,57.78,50.851,39.178,42.309,57.481,58.399,57.694,36.35,44.403
A,69.372,43.866,35.414,57.132,64.037,59.234,44.378,53.212,44.758,49.269,42.938,55.4,37.868,56.469,49.367,46.02,44.204,48.516,60.819,49.269
A,44.989,41.5,58.045,58.511,37.639,63.121,49.262,60.657,56.691,51.568,29.887,71.974,41.884,51.524,60.234,69.914,58.756,43.783,54.621,61.921
A,39.199,31.866,42.326,49.25,62.005,42.207,49.818,51.557,53.955,66.216,39.888,49.41,39.664,35.675,49.05,43.356,48.222,66.505,56.986,29.753
A,59.665,49.049,34.236,58.045,43.547,36.068,58.637,34.816,41.561,46.101,71.056,69.077,62.056,29.829,53.393,57.368,58.257,64.378,52.761,73.083
A,29.427,67.272,51.54,57.975,56.232,49.434,47.794,42.846,56.536,40.584,57.545,54.4,55.525,19.517,44.448,54.323,49.736,58.743,58.373,47.468
A,53.421,35.331,49.158,53.46,74.968,45.698,58.146,57.266,58.348,50.765,42.005,58.168,59.242,54.85,45.502,52.15,42.495,53.453,57.044,51.232
A,24.531,50.625,66.88,50.794,42.802,57.232,60.705,61.774,48.258,51.369,50.889,35.603,50.662,39.125,37.466,41.148,61.86,57.818,59.354,63.365
A,29.862,64.072,67.173,41.724,35.169,49.013,60.565,37.807,44.993,42.189,38.34,45.681,43.716,51.859,65.803,44.697,51.463,58.574,51.179,49.029
A,35.56,38.232,70.124,47.946,66.324,41.949,44.345,42.547,43.266,46.548,35.088,41.825,40.461,54.965,58.887,43.594,36.116,36.972,44.809,33.87
A,54.376,41.308,50.551,55.683,69.691,61.51,45.937,52.607,53.682,56.051,44.895,42.327,64.148,48.797,48.232,37.205,47.854,59.929,50.793,51.738
A,44.725,60.63,36.657,61.675,41.478,55.195,64.202,47.205,62.578,66.651,40.482,53.142,61.702,49.39,52.995,43.433,35.295,54.934,38.423,39.353
A,57.318,56.917,75.669,45.707,39.266,56.826,49.282,54.242,41.348,35.119,34.52,52.037,52.528,60.617,59.398,17.114,55.064,43.514,41.774,33.665
A,43.131,46.64,47.185,62.939,57.388,47.383,46.373,52.506,50.065,58.23,46.592,41.711,47.074,49.55,53.62,43.691,66.557,55.546,40.402,53.032
A,52.206,42.087,48.795,51.875,40.729,34.543,49.229,64.987,56.577,37.862,58.645,50.719,50.295,35.51,49.818,39.612,44.416,43.393,58.923,64.262
A,48.753,57.731,38.865,53.033,67.008,22.373,56.524,48.483,56.53,57.367,52.299,52.676,40.484,64.296,53.545,47.612,46.38,44.997,43.578,42.16
A,66.686,38.365,44.512,38.354,65.72,49.052,44.149,47.9,40.749,36.178,38.121,61.758,68.838,53.728,58.224,34.644,39.713,42.239,53.119,52.253
A,56.518,28.079,44.088,55.555,35.032,52.063,54.887,59.301,55.26,48.093,45.137,59.352,62.563,43.639,39.355,56.745,57.653,44.471,69.449,55.815
A,24.264,43.188,36.204,25.879,44.7,52.035,46.235,64.061,57.372,57.148,31.81,38.332,59.251,42.277,43.975,57.727,32.386,45.263,40.938,54.103
A,62.287,57.295,46.504,54.665,56.094,50.454,64.37,69.367,54.356,54.238,49.568,50.165,59.626,43.603,47.651,46.732,46.775,49.315,46.272,59.188
A,45.071,49.957,63.999,53.463,49.864,50.415,31.593,44.786,37.72,42.724,58.161,52.95,77.158,43.963,30.232,46.371,41.901,49.604,56.4,62.302
A,53.864,54.713,66.698,49.467,68.613,50.547,74.106,58.998,60.614,25.278,66.566,42.947,33.541,51.571,44.232,46.437,62.521,55.724,75.49,64.158
A,55.663,52.03,58.269,45.975,54.174,72.856,36.445,71.057,57.688,52.039,46.622,47.599,55.614,42.496,54.204,52.934,70.129,46.054,61.298,60.801
A,35.987,56.726,40.258,47.305,68.821,54.423,59.708,50.003,56.751,59.817,56.997,56.581,48.802,71.639,54.895,55.383,43.62,49.662,43.218,54.314
A,63.757,43.685,45.188,59.655,41.682,47.237,57.56,62.563,49.326,63.552,36.036,33.65,36.688,54.821,48.417,45.795,32.704,32.571,39.801,68.508
A,64.95,58.136,45.21,54.399,32.741,38.805,49.605,48.894,40.362,46.972,53.523,56.341,49.892,28.487,43.997,43.953,52.773,56.425,49.228,37.318
A,44.419,42.752,53.081,51.922,57.234,64.053,55.538,33.377,55.432,49.625,51.035,42.631,54.371,33.398,41.703,27.502,43.084,37.705,29.283,41.656
A,36.148,43.516,42.156,47.79,65.382,52.456,57.183,46.103,70.706,48.544,49.589,43.503,34.538,40.37,60.823,35.854,52.313,53.024,47.547,55.944
A,46.985,64.37,52.744,37.495,41.488,69.396,49.602,54.417,53.882,58.752,57.369,49.718,68.543,52.109,41.086,56.633,35.512,44.02,42.629,53.718
A,46.278,45.33,66.949,56.497,30.773,57.859,72.503,54.528,32.078,55.987,68.355,45.705,67.585,59.993,51.296,52.562,47.308,45.586,47.836,46.08
A,45.37,48.185,42.075,55.406,62.512,48.32,59.69,46.048,56.251,35.796,60.684,47.01,54.923,47.709,47.945,76.27,63.008,49.11,53.019,43.434
A,70.105,30.938,38.209,50.168,56.982,58.764,46.453,53.722,60.506,54.295,41.976,53.747,61.579,49.592,36.152,66.373,60.592,61.909,36.963,36.844
A,52.144,56.459,48.361,57.484,31.625,59.681,32.179,65.941,68.203,56.17,56.378,39.291,43.022,37.096,45.642,39.615,53.037,51.545,50.02,55.832
A,29.517,22.584,57.343,49.225,64.833,57.629,63.858,33.332,48.065,44.469,49.691,57.139,60.596,51.026,50.579,49.365,58.442,39.427,57.926,47.342
A,72.648,43.274,46.85,36.977,37.577,48.495,17.408,51.977,64.035,43.567,52.571,64.057,36.899,48.641,64.267,25.173,56.247,48.502,41.686,51.365
A,60.11,53.72,49.047,37.8,63.541,59.982,65.831,66.172,65.547,75.82,58.286,48.11,45.365,55.227,59.093,42.198,37.239,41.878,59.194,66.76
A,23.935,34.647,62.576,55.868,45.544,48.039,41.609,56.137,61.219,61.336,67.904,63.6,59.188,54.127,53.252,60.282,50.901,32.999,61.098,62.522
A,49.88,56.601,48.398,38.673,38.374,57.753,41.98,33.804,41.86,61.727,68.967,45.114,37.039,41.372,44.135,50.732,59.625,41.56,49.19,59.331
A,48.844,50.845,60.181,29.551,36.002,42.085,43.506,59.945,59.384,41.168,50.549,45.289,41.789,50.725,48.827,35.216,43.632,57.001,52.709,54.534
A,49.683,47.805,75.238,50.808,42.54,52.961,43.056,40.811,58.659,38.332,49.884,67.393,51.149,53.481,42.419,57.536,38.34,42.82,65.942,42.385
A,46.459,46.175,68.303,39.33,47.609,40.719,57.9,53.215,58.53,50.774,55.344,68.802,48.758,36.062,55.313,57.579,45.843,51.841,55.06,50.57
A,60.222,71.536,42.16,45.703,54.922,42.609,35.437,39.41,44.218,52.966,51.874,34.44,49.12,62.063,49.185,57.744,72.248,43.05,52.925,58.077
A,52.127,44.941,37.833,43.223,31.307,55.765,53.054,46.585,63.517,37.822,23.052,47.476,56.579,58.345,66.582,56.41,42.435,39.813,61.753,66.499
A,52.315,51.288,55.64,53.138,51.246,46.055,52.422,37.152,44.71,57.04,54.609,47.328,33.323,37.599,48.102,48.984,39.694,47.961,56.573,71.939
A,47.228,46.393,42.967,51.89,30.574,56.271,49.587,48.403,31.001,65.291,36.594,61.477,48.101,48.095,55.45,49.211,60.271,38.875,40.331,66.767
A,57.713,60.012,39.778,35.245,55.12,54.919,42.027,55.73,56.186,54.227,42.515,46.881,30.571,54.638,42.806,40.438,30.943,50.085,49.857,40.872
A,72.351,37.193,32.189,41.545,42.013,52.919,54.097,32.489,48.918,55.546,43.828,55.104,51.466,62.714,48.076,51.284,43.592,66.806,47.322,64.567
A,45.385,41.391,45.256,34.105,36.085,38.874,44.424,40.983,36.046,42.171,41.834,44.46,47.592,51.041,67.875,43.535,39.724,56.628,53.793,58.123
A,50.719,45.663,64.521,53.162,30.457,62.127,68.17,41.142,38.267,66.227,35.914,54.003,42.501,57.861,52.307,65.872,63.813,45.721,62.124,67.281
A,53.589,53.941,53.504,58.403,39.307,46.373,56.096,39.808,35.508,42.396,53.792,41.743,41.852,39.557,55.487,54.847,42.937,43.892,45.288,64.174
A,42.889,50.717,63.991,48.602,56.746,29.3,35.591,40.02,61.027,43.939,61.755,43.02,52.018,49.127,47.559,51.294,50.582,58.099,54.295,57.368
A,46.8,64.649,51.676,54.405,54.197,43.535,45.586,44.479,28.37,33.249,69.183,55.392,36.222,61.647,58.664,65.259,62.325,54.451,52.93,34.416
A,47.598,35.33,55.181,59.809,45.744,57.343,40.34,35.662,48.155,37.288,57.297,55.133,51.912,51.246,40.641,43.322,49.517,31.672,46.519,43.094
A,40.627,39.468,57.511,54.353,34.549,65.837,53.688,62.18,51.514,55.444,41.824,35.057,41.738,52.814,48.958,31.826,55.67,41.586,47.101,50.052
A,42.648,41.64,46.972,59.278,47.84,60.193,61.468,37.415,61.088,51.754,45.554,32.358,38.749,50.111,55.825,52.477,45.537,36.707,44.079,42.915
A,50.766,40.572,53.894,57.168,40.791,47.636,47.408,49.217,42.966,66.019,51.279,47.74,49.115,23.702,47.974,40.307,37.864,42.802,49.895,34.908
A,44.917,43.799,45.399,54.0,30.659,64.325,76.719,29.211,40.706,50.342,49.215,72.018,57.787,56.041,45.496,53.163,38.576,50.942,43.622,35.241
A,50.665,34.828,61.783,55.669,46.225,52.829,49.281,56.352,42.324,59.995,63.39,51.372,67.086,62.166,36.812,66.862,59.398,41.71,38.826,40.285
A,48.515,47.755,30.364,35.424,53.34,53.325,58.975,58.066,44.641,40.617,55.123,55.6,56.929,53.735,58.674,49.595,40.193,47.07,39.664,55.387
A,45.062,58.157,53.234,50.718,36.489,45.136,64.649,49.237,30.638,47.657,57.935,46.201,38.213,49.356,42.589,44.696,55.431,53.955,43.97,47.818
A,43.778,25.659,54.777,41.315,49.851,47.345,43.115,51.841,40.443,63.406,57.611,46.584,54.114,54.027,43.471,57.994,29.417,42.414,66.247,55.421
A,63.14,64.098,52.427,47.878,55.195,46.648,28.873,50.122,68.403,36.699,41.513,50.259,36.548,47.299,52.12,48.899,30.296,48.629,53.631,69.038
A,61.722,47.529,48.452,58.668,63.783,55.201,47.741,52.537,41.315,53.107,46.745,50.801,42.918,36.043,51.141,50.143,56.952,54.308,51.73,46.615
A,26.628,61.927,31.496,49.941,38.126,55.736,43.194,52.747,45.945,50.521,42.536,60.0,56.374,60.893,33.746,33.511,45.789,51.726,52.602,76.128
A,46.278,44.584,62.37,45.985,49.318,62.149,42.842,58.073,47.001,39.007,49.856,64.691,48.18,41.667,54.53,44.125,36.981,41.713,47.743,49.74
A,55.394,61.648,43.907,57.158,47.903,46.741,63.028,45.962,54.932,56.709,44.404,66.336,51.156,19.821,45.144,61.211,41.218,41.628,67.949,47.133
A,39.656,48.974,68.15,47.713,47.36,65.981,52.428,62.072,50.501,57.55,55.061,62.203,53.025,31.293,53.182,35.868,52.183,57.846,67.849,49.675
A,42.345,51.34,54.902,40.074,45.418,46.268,41.105,52.087,57.505,46.559,40.656,56.662,49.0,51.452,68.308,55.508,52.193,61.952,32.129,45.074
A,42.742,60.51,52.544,39.974,48.162,44.901,32.22,45.197,61.931,38.535,42.523,42.812,58.884,37.794,59.715,50.422,46.018,62.91,55.671,66.314
A,46.928,53.056,48.292,39.034,60.102,37.582,40.947,48.807,54.657,64.698,77.817,69.328,39.575,49.475,41.072,47.287,33.521,51.73,64.047,52.228
A,54.757,45.509,73.031,57.095,58.616,64.652,60.771,74.474,45.319,65.172,69.535,52.599,52.346,24.416,49.851,58.946,42.021,43.602,31.269,36.72
A,59.977,68.244,36.137,53.48,48.348,41.876,53.692,72.89,58.898,58.418,59.708,41.724,45.673,59.33,50.105,65.233,50.245,54.49,61.785,67.688
A,45.988,58.41,51.373,33.619,59.765,62.684,54.13,49.087,39.692,53.021,44.156,61.933,58.915,55.036,50.128,44.361,55.193,53.716,38.268,39.706
A,60.734,45.67,61.555,55.476,33.401,49.043,66.605,52.166,62.819,37.743,37.039,53.653,39.433,50.529,52.638,49.85,64.262,52.056,39.903,32.776
A,46.633,41.156,50.609,37.281,59.302,39.599,48.703,41.498,49.729,43.036,39.678,64.965,46.472,36.925,32.446,40.672,35.635,56.39,56.831,65.724
A,55.858,45.118,50.657,41.577,56.715,61.967,50.931,47.668,65.813,56.091,48.532,51.87,54.804,42.342,37.951,41.829,49.813,30.993,54.981,43.849
A,46.419,37.494,48.643,46.107,43.971,43.096,48.572,51.56,69.341,50.829,52.017,38.897,30.809,51.523,60.241,42.717,70.123,43.377,63.623,37.052
A,57.199,41.841,40.091,49.732,44.432,43.563,43.635,54.514,74.517,56.58,51.277,43.286,42.887,72.309,49.239,50.222,50.428,63.975,38.198,59.731
A,52.997,37.605,51.181,45.368,41.58,55.833,39.124,39.521,48.316,48.86,58.024,41.748,48.575,56.091,34.843,37.448,38.893,67.827,70.279,45.025
A,44.512,30.584,37.065,61.665,63.996,45.205,48.151,46.891,41.076,37.939,46.577,55.763,51.195,39.105,42.317,41.399,53.226,49.721,44.977,30.965
A,45.957,44.311,48.067,61.686,49.413,44.441,52.082,39.89,51.519,47.551,60.587,56.579,52.034,40.048,43.842,62.416,43.439,62.093,63.341,42.552
A,56.998,51.042,43.026,34.35,36.816,46.282,57.097,55.748,51.907,47.802,55.525,48.72,36.155,44.401,55.162,44.692,47.059,55.767,64.048,59.975
A,58.618,45.343,41.727,52.762,60.733,59.88,50.232,58.142,50.961,48.092,47.339,30.482,50.634,47.345,57.109,57.644,36.734,37.305,49.933,55.562
A,50.375,45.193,68.057,47.791,51.638,43.801,45.111,53.563,39.273,40.368,58.827,47.846,43.077,45.995,48.276,38.234,49.976,51.631,51.988,44.749
A,40.462,57.335,54.044,55.39,36.484,48.482,42.188,59.625,59.379,68.011,43.958,52.512,66.656,37.095,38.561,38.892,58.723,30.624,53.99,69.381
A,45.862,53.288,49.196,48.638,69.903,65.26,50.306,44.631,43.347,53.222,49.427,59.449,55.801,49.252,55.695,59.388,54.362,64.285,45.145,59.04
A,48.491,58.562,44.454,41.894,57.07,46.864,52.93,61.902,57.945,52.183,56.338,57.919,39.787,59.22,39.72,49.47,34.607,54.867,48.53,64.579
A,52.037,67.26,50.596,50.24,43.217,52.564,53.41,32.078,36.498,46.337,50.751,46.099,32.31,65.379,36.416,63.351,58.155,51.233,44.889,51.921
A,24.935,51.137,38.994,54.691,46.058,53.392,54.601,52.054,46.068,60.116,29.032,57.005,56.226,43.394,53.425,48.045,54.776,67.479,57.277,48.309
A,47.853,40.908,41.669,55.993,52.351,53.954,55.586,55.494,50.016,35.201,54.305,42.325,59.615,43.224,51.21,40.8,50.688,36.54,52.068,65.444
A,74.873,49.284,55.86,44.134,63.919,51.786,51.731,39.977,48.945,40.741,44.426,60.112,61.714,48.607,64.371,66.811,61.281,26.616,43.162,44.688
A,36.997,49.214,52.023,48.493,53.728,56.573,65.287,36.75,40.474,35.486,43.631,52.257,59.611,39.32,49.867,68.208,57.537,48.703,46.947,40.934
A,57.853,48.306,54.988,51.015,64.476,37.589,51.991,58.546,27.416,52.127,52.647,38.546,48.036,42.612,38.951,28.193,61.095,45.193,50.346,59.104
A,51.118,62.286,63.805,51.113,55.319,45.218,61.435,56.811,52.407,46.471,29.216,47.619,42.677,49.205,61.027,34.801,52.335,62.251,58.336,56.45
A,47.244,47.36,55.56,45.262,51.687,46.52,45.707,60.597,53.219,35.996,52.214,53.139,44.527,50.002,53.222,27.652,56.431,51.852,49.588,58.007
A,49.548,60.275,47.184,55.002,56.04,47.75,51.151,46.122,62.916,41.332,27.267,57.105,41.829,61.245,41.917,47.494,54.976,51.834,66.809,55.911
A,50.431,48.023,44.09,32.22,55.384,55.037,62.263,52.493,45.014,56.259,45.214,36.065,61.549,37.865,47.813,45.353,53.734,55.108,49.419,35.005
A,72.69,34.66,80.349,43.953,35.406,68.534,53.449,53.538,47.75,58.549,42.893,57.944,58.579,62.041,69.674,50.26,35.524,57.504,44.364,68.86
A,45.505,46.192,56.649,47.22,67.836,44.252,80.224,59.021,54.367,51.918,54.332,57.942,52.785,35.215,53.445,52.551,61.154,58.4,51.368,74.15
A,78.837,41.631,54.594,46.861,63.387,50.276,48.588,35.482,62.061,38.068,43.689,52.365,55.685,50.513,34.854,41.604,46.504,58.996,59.602,63.135
A,54.468,36.654,44.771,38.818,47.149,41.603,57.02,44.324,41.063,67.772,36.85,57.482,51.698,36.964,40.759,57.523,44.284,45.361,38.118,50.718
A,64.267,55.126,46.305,68.555,46.686,35.255,39.084,51.123,30.848,41.389,64.026,55.616,38.118,56.532,48.663,55.726,37.64,45.195,54.112,48.722
A,49.512,47.392,48.206,48.927,47.549,60.912,62.55,47.839,60.473,26.895,66.344,49.267,44.204,36.31,42.612,42.03,56.407,52.946,58.105,57.812
A,43.195,32.216,34.779,55.83,37.063,56.336,32.589,55.689,64.471,51.006,54.609,54.015,62.702,51.246,55.856,40.313,64.919,77.452,53.423,47.175
A,47.303,57.145,47.672,42.956,52.27,40.351,51.81,40.205,39.189,58.349,60.646,55.377,39.215,28.048,41.574,62.2,62.608,32.988,49.703,40.079
A,43.796,47.873,51.014,61.19,48.827,55.614,47.528,44.509,41.765,60.028,44.702,34.524,51.298,57.311,57.269,51.49,44.7,40.091,55.135,48.842
A,47.175,44.356,42.73,56.794,45.271,46.461,42.137,54.383,54.319,43.831,68.099,50.366,42.017,39.201,60.95,54.992,50.4,59.634,67.643,44.829
A,56.46,44.573,73.331,38.304,57.281,42.806,38.407,46.65,38.062,59.917,42.994,54.499,50.881,73.551,54.605,46.908,41.231,41.134,50.641,54.726
A,51.135,64.119,31.105,53.803,42.531,49.283,51.401,54.738,50.582,54.092,41.053,49.401,66.588,53.925,62.875,59.619,60.244,60.069,42.453,47.665
A,36.951,48.292,65.0,44.443,50.132,39.713,49.025,54.594,44.234,42.696,41.366,53.921,60.977,47.871,63.272,49.258,72.764,38.115,46.82,39.624
A,48.884,51.517,49.49,46.111,58.538,45.755,64.196,61.995,57.687,50.547,37.443,41.806,49.394,53.175,37.855,42.25,76.02,29.517,61.517,56.031
A,43.686,50.487,81.362,50.671,38.508,53.88,47.423,35.938,58.777,41.034,65.652,47.166,42.037,52.291,45.467,52.366,54.636,20.439,65.315,37.074
A,27.645,57.925,45.818,47.459,59.534,53.711,28.488,49.976,46.773,47.49,43.655,54.672,35.618,65.899,41.66,45.046,55.139,57.701,57.463,45.098
A,67.907,52.427,46.118,48.083,41.212,67.979,50.379,42.193,46.664,44.863,53.862,62.909,56.791,46.824,48.604,55.719,55.749,56.277,32.805,40.601
A,37.874,50.712,56.936,52.283,50.011,49.226,33.83,57.016,37.327,54.627,51.056,58.741,47.482,71.092,64.418,55.026,41.348,46.08,51.831,32.799
A,49.68,42.925,55.822,43.641,51.826,50.938,60.916,53.656,66.674,58.62,51.465,50.784,44.268,50.351,50.641,43.996,61.595,33.159,54.696,43.069
A,58.968,42.985,68.178,32.377,29.052,53.254,57.971,46.893,44.797,42.777,51.719,61.503,57.898,61.909,23.161,70.609,53.756,51.951,37.58,62.047
A,56.614,64.349,41.714,61.086,68.091,46.255,35.415,76.751,55.152,55.617,40.534,54.591,59.355,40.964,40.071,48.3,66.892,51.061,48.588,55.93
A,60.505,36.762,45.588,47.451,60.272,49.963,38.257,60.041,42.6,36.359,46.131,47.05,61.728,52.562,36.204,29.13,64.926,50.28,41.031,28.941
